step,loss
10,0.28
20,0.241
30,0.259
40,0.238
50,0.27
60,0.258
70,0.247
80,0.29
90,0.291
100,0.221
110,0.23
120,0.247
130,0.209
140,0.24
150,0.265
160,0.234
170,0.24
180,0.221
190,0.231
200,0.231
210,0.227
220,0.21
230,0.255
240,0.217
250,0.203
260,0.247
270,0.215
280,0.213
290,0.184
300,0.208
310,0.219
320,0.175
330,0.193
340,0.196
350,0.157
360,0.194
370,0.201
380,0.195
390,0.209
400,0.198
410,0.181
420,0.183
430,0.219
440,0.215
450,0.191
460,0.143
470,0.192
480,0.169
490,0.198
500,0.216
510,0.169
520,0.161
530,0.146
540,0.198
550,0.179
560,0.186
570,0.183
580,0.168
590,0.158
600,0.156
610,0.186
620,0.162
630,0.186
640,0.168
650,0.195
660,0.161
670,0.243
680,0.177
690,0.157
700,0.249
710,0.174
720,0.165
730,0.162
740,0.172
750,0.16
760,0.159
770,0.175
780,0.147
790,0.164
800,0.16
810,0.168
820,0.146
830,0.148
840,0.159
850,0.16
860,0.157
870,0.13
880,0.166
890,0.187
900,0.15
910,0.147
920,0.15
930,0.141
940,0.161
950,0.152
960,0.141
970,0.194
980,0.135
990,0.133
1000,0.155
1010,0.176
1020,0.14
1030,0.143
1040,0.155
1050,0.156
1060,0.147
1070,0.111
1080,0.168
1090,0.131
1100,0.139
1110,0.149
1120,0.167
1130,0.126
1140,0.16
1150,0.16
1160,0.145
1170,0.146
1180,0.133
1190,0.145
1200,0.159
1210,0.128
1220,0.154
1230,0.158
1240,0.116
1250,0.14
1260,0.14
1270,0.117
1280,0.126
1290,0.131
1300,0.126
1310,0.147
1320,0.141
1330,0.155
1340,0.116
1350,0.139
1360,0.142
1370,0.12
1380,0.133
1390,0.143
1400,0.1
1410,0.144
1420,0.132
1430,0.132
1440,0.134
1450,0.111
1460,0.144
1470,0.111
1480,0.151
1490,0.137
1500,0.161
1510,0.135
1520,0.136
1530,0.109
1540,0.13
1550,0.146
1560,0.127
1570,0.181
1580,0.116
1590,0.104
1600,0.143
1610,0.121
1620,0.176
1630,0.116
1640,0.117
1650,0.117
1660,0.124
1670,0.145
1680,0.163
1690,0.161
1700,0.125
1710,0.118
1720,0.115
1730,0.137
1740,0.135
1750,0.155
1760,0.123
1770,0.127
1780,0.117
1790,0.138
1800,0.152
1810,0.141
1820,0.13
1830,0.123
1840,0.115
1850,0.144
1860,0.158
1870,0.139
1880,0.121
1890,0.112
1900,0.112
1910,0.139
1920,0.099
1930,0.111
1940,0.122
1950,0.128
1960,0.164
1970,0.115
1980,0.127
1990,0.119
2000,0.116
2010,0.119
2020,0.095
2030,0.112
2040,0.111
2050,0.141
2060,0.124
2070,0.11
2080,0.115
2090,0.112
2100,0.126
2110,0.115
2120,0.111
2130,0.107
2140,0.098
2150,0.14
2160,0.104
2170,0.128
2180,0.13
2190,0.118
2200,0.142
2210,0.123
2220,0.109
2230,0.118
2240,0.102
2250,0.125
2260,0.111
2270,0.129
2280,0.136
2290,0.129
2300,0.129
2310,0.098
2320,0.128
2330,0.124
2340,0.135
2350,0.115
2360,0.108
2370,0.105
2380,0.118
2390,0.119
2400,0.091
2410,0.123
2420,0.116
2430,0.101
2440,0.106
2450,0.087
2460,0.098
2470,0.112
2480,0.132
2490,0.115
2500,0.098
2510,0.105
2520,0.104
2530,0.108
